,air_quality_PM2.5,air_quality_PM10,air_quality_Ozone,temperature_celsius,humidity,wind_kph,precip_mm
air_quality_PM2.5,1.0,0.6475429059209811,0.040554077075196676,0.05856658735844272,-0.21620359068513212,-0.03917595464032098,-0.05207569581119807
air_quality_PM10,0.6475429059209811,1.0,0.08704255302956593,0.10874310199796125,-0.23912449705644692,0.057111397260690054,-0.04304176950311231
air_quality_Ozone,0.040554077075196676,0.08704255302956593,1.0,0.24705430308075105,-0.4014736398185887,0.12058954197953059,-0.061811439022582536
temperature_celsius,0.05856658735844272,0.10874310199796125,0.24705430308075105,1.0,-0.3388945107380438,0.09043881796375039,0.033785670105106136
humidity,-0.21620359068513212,-0.23912449705644692,-0.4014736398185887,-0.3388945107380438,1.0,-0.07835169277224492,0.17084347789885598
wind_kph,-0.03917595464032098,0.057111397260690054,0.12058954197953059,0.09043881796375039,-0.07835169277224492,1.0,0.008368080148670434
precip_mm,-0.05207569581119807,-0.04304176950311231,-0.061811439022582536,0.033785670105106136,0.17084347789885598,0.008368080148670434,1.0
