Model,RMSE,MAE,R2
Random Forest,7.553681350188448,5.381168581343088,0.523513030790057
XGBoost,7.556343788840858,5.31807041240443,0.5231770778051421
Weighted Ensemble,7.583175353850327,5.662593260753804,0.519784797010294
Linear Regression,9.610326411216624,7.933423168242465,0.2287237029727719
